OTU	numchars	nAmbig	nQ	PctData	numchars_woInvar	nQ_woInvar	PctData_woInvar
1	Aramides_axillaris_0	5	0	0	100	-25	30	-500
2	Amaurornis_flavirostris_0	5	0	0	100	-25	30	-500
3	Amaurornis_phoenicurus_0	5	0	0	100	-25	30	-500
4	Aramides_cajanea_0	5	0	0	100	-25	30	-500
5	Crex_crex_0	5	0	0	100	-25	30	-500
6	Eulabeornis_castaneoventris_0	5	0	0	100	-25	30	-500
7	Dryolimnas_cuvieri_0	5	0	0	100	-25	30	-500
8	Fulica_americana_0	5	0	0	100	-25	30	-500
9	Fulica_atra_0	5	0	0	100	-25	30	-500
10	Fulica_ardesiaca_0	5	0	0	100	-25	30	-500
11	Fulica_leucoptera_0	5	0	0	100	-25	30	-500
12	Fulica_rufifrons_0	5	0	0	100	-25	30	-500
13	Fulica_armillata_0	5	0	0	100	-25	30	-500
14	Gallinula_angulata_0	5	0	0	100	-25	30	-500
15	Gallinula_chloropus_0	5	0	0	100	-25	30	-500
16	Gallicrex_cinerea_0	5	0	0	100	-25	30	-500
17	Gallinula_tenebrosa_0	5	0	0	100	-25	30	-500
18	Gallinula_mortierii_0	5	0	0	100	-25	30	-500
19	Gallinula_ventralis_0	5	0	0	100	-25	30	-500
20	Laterallus_exilis_0	5	0	0	100	-25	30	-500
21	Laterallus_melanophaius_0	5	0	0	100	-25	30	-500
22	Laterallus_viridis_0	5	0	0	100	-25	30	-500
23	Neocrex_erythrops_0	5	0	0	100	-25	30	-500
24	Nesoclopeus_woodfordi_0	5	0	0	100	-25	30	-500
25	Pardirallus_nigricans_0	5	0	0	100	-25	30	-500
26	Pardirallus_sanguinolentus_0	5	0	0	100	-25	30	-500
27	Pardirallus_maculatus_0	5	0	0	100	-25	30	-500
28	Porzana_porzana_0	5	0	0	100	-25	30	-500
29	Rallus_limicola_0	5	0	0	100	-25	30	-500
30	Rallus_longirostris_0	5	0	0	100	-25	30	-500
31	Rallina_fasciata_0	5	0	0	100	-25	30	-500
32	Rallina_tricolor_0	5	0	0	100	-25	30	-500
33	Porphyrio_martinica_0	5	0	0	100	-25	30	-500
34	Gallirallus_philippensis_0	5	0	0	100	-25	30	-500
35	Aenigmatolimnas_marginalis_0	5	0	0	100	-25	30	-500
36	Amaurolimnas_concolor_0	5	0	0	100	-25	30	-500
37	Amaurornis_moluccana_0	5	0	0	100	-25	30	-500
38	Aramides_saracura_0	5	0	0	100	-25	30	-500
39	Coturnicops_noveboracensis_0	5	0	0	100	-25	30	-500
40	Crex_egregia_0	5	0	0	100	-25	30	-500
41	Fulica_gigantea_0	5	0	0	100	-25	30	-500
42	Fulica_cristata_0	5	0	0	100	-25	30	-500
43	Gallirallus_calayanensis_0	0	0	5	0	-25	30	-500
44	Gallirallus_torquatus_0	5	0	0	100	-25	30	-500
45	Gallirallus_striatus_0	5	0	0	100	-25	30	-500
46	Laterallus_albigularis_0	5	0	0	100	-25	30	-500
47	Laterallus_leucopyrrhus_0	5	0	0	100	-25	30	-500
48	Laterallus_jamaicaensis_0	5	0	0	100	-25	30	-500
49	Megacrex_inepta_0	5	0	0	100	-25	30	-500
50	Micropygia_schomburgkii_0	5	0	0	100	-25	30	-500
51	Porzana_cinerea_0	5	0	0	100	-25	30	-500
52	Porzana_fusca_0	5	0	0	100	-25	30	-500
53	Porphyrio_madagascariensis_0	5	0	0	100	-25	30	-500
54	Porzana_parva_0	5	0	0	100	-25	30	-500
55	Rallina_eurizonoides_0	5	0	0	100	-25	30	-500
56	Atlantisia_rogersi_0	5	0	0	100	-25	30	-500
57	Himantornis_haematopus_0	5	0	0	100	-25	30	-500
58	Gallirallus_owstoni_0	5	0	0	100	-25	30	-500
59	Rougetius_rougetii_0	5	0	0	100	-25	30	-500
60	Porphyrio_melanotus_0	5	0	0	100	-25	30	-500
61	Porphyrio_alleni_0	5	0	0	100	-25	30	-500
62	Lewinia_pectoralis_0	5	0	0	100	-25	30	-500
63	Porphyrio_poliocephalus_0	5	0	0	100	-25	30	-500
64	Porphyrio_melanopterus_0	5	0	0	100	-25	30	-500
65	Porphyrio_indicus_0	5	0	0	100	-25	30	-500
66	Porphyrio_porphyrio_0	5	0	0	100	-25	30	-500
67	Porphyrio_ellioti_0	5	0	0	100	-25	30	-500
68	Porphyrio_pulverulentus_0	5	0	0	100	-25	30	-500
69	Porphyrio_kukwiedei_0	0	0	5	0	-25	30	-500
70	Porphyrio_mantelli_0	0	0	5	0	-25	30	-500
71	Porphyrio_hochstetteri_0	5	0	0	100	-25	30	-500
72	Habroptila_wallacii_0	5	0	0	100	-25	30	-500
73	Gymnocrex_rosenbergii_0	5	0	0	100	-25	30	-500
74	Gymnocrex_plumbeiventris_0	5	0	0	100	-25	30	-500
75	Aramides_calopterus_0	5	0	0	100	-25	30	-500
