OTU	numchars	nAmbig	nQ	PctData	numchars_woInvar	nQ_woInvar	PctData_woInvar
1	Aramides_axillaris_0	1	0	0	100	-6	7	-600
2	Amaurornis_flavirostris_0	1	0	0	100	-6	7	-600
3	Amaurornis_phoenicurus_0	1	0	0	100	-6	7	-600
4	Aramides_cajanea_0	1	0	0	100	-6	7	-600
5	Crex_crex_0	1	0	0	100	-6	7	-600
6	Eulabeornis_castaneoventris_0	1	0	0	100	-6	7	-600
7	Dryolimnas_cuvieri_0	1	0	0	100	-6	7	-600
8	Fulica_americana_0	1	0	0	100	-6	7	-600
9	Fulica_atra_0	1	0	0	100	-6	7	-600
10	Fulica_ardesiaca_0	1	0	0	100	-6	7	-600
11	Fulica_leucoptera_0	1	0	0	100	-6	7	-600
12	Fulica_rufifrons_0	1	0	0	100	-6	7	-600
13	Fulica_armillata_0	1	0	0	100	-6	7	-600
14	Gallinula_angulata_0	1	0	0	100	-6	7	-600
15	Gallinula_chloropus_0	1	0	0	100	-6	7	-600
16	Gallicrex_cinerea_0	1	0	0	100	-6	7	-600
17	Gallinula_tenebrosa_0	1	0	0	100	-6	7	-600
18	Gallinula_mortierii_0	1	0	0	100	-6	7	-600
19	Gallinula_ventralis_0	1	0	0	100	-6	7	-600
20	Laterallus_exilis_0	1	0	0	100	-6	7	-600
21	Laterallus_melanophaius_0	1	0	0	100	-6	7	-600
22	Laterallus_viridis_0	1	0	0	100	-6	7	-600
23	Neocrex_erythrops_0	1	0	0	100	-6	7	-600
24	Nesoclopeus_woodfordi_0	1	0	0	100	-6	7	-600
25	Pardirallus_nigricans_0	1	0	0	100	-6	7	-600
26	Pardirallus_sanguinolentus_0	1	0	0	100	-6	7	-600
27	Pardirallus_maculatus_0	1	0	0	100	-6	7	-600
28	Porzana_porzana_0	1	0	0	100	-6	7	-600
29	Rallus_limicola_0	1	0	0	100	-6	7	-600
30	Rallus_longirostris_0	1	0	0	100	-6	7	-600
31	Rallina_fasciata_0	1	0	0	100	-6	7	-600
32	Rallina_tricolor_0	1	0	0	100	-6	7	-600
33	Porphyrio_martinica_0	1	0	0	100	-6	7	-600
34	Gallirallus_philippensis_0	1	0	0	100	-6	7	-600
35	Aenigmatolimnas_marginalis_0	1	0	0	100	-6	7	-600
36	Amaurolimnas_concolor_0	1	0	0	100	-6	7	-600
37	Amaurornis_moluccana_0	1	0	0	100	-6	7	-600
38	Aramides_saracura_0	1	0	0	100	-6	7	-600
39	Coturnicops_noveboracensis_0	1	0	0	100	-6	7	-600
40	Crex_egregia_0	1	0	0	100	-6	7	-600
41	Fulica_gigantea_0	1	0	0	100	-6	7	-600
42	Fulica_cristata_0	1	0	0	100	-6	7	-600
43	Gallirallus_calayanensis_0	0	0	1	0	-6	7	-600
44	Gallirallus_torquatus_0	1	0	0	100	-6	7	-600
45	Gallirallus_striatus_0	1	0	0	100	-6	7	-600
46	Laterallus_albigularis_0	1	0	0	100	-6	7	-600
47	Laterallus_leucopyrrhus_0	1	0	0	100	-6	7	-600
48	Laterallus_jamaicaensis_0	1	0	0	100	-6	7	-600
49	Megacrex_inepta_0	1	0	0	100	-6	7	-600
50	Micropygia_schomburgkii_0	1	0	0	100	-6	7	-600
51	Porzana_cinerea_0	1	0	0	100	-6	7	-600
52	Porzana_fusca_0	1	0	0	100	-6	7	-600
53	Porphyrio_madagascariensis_0	1	0	0	100	-6	7	-600
54	Porzana_parva_0	1	0	0	100	-6	7	-600
55	Rallina_eurizonoides_0	1	0	0	100	-6	7	-600
56	Atlantisia_rogersi_0	1	0	0	100	-6	7	-600
57	Himantornis_haematopus_0	1	0	0	100	-6	7	-600
58	Gallirallus_owstoni_0	1	0	0	100	-6	7	-600
59	Rougetius_rougetii_0	1	0	0	100	-6	7	-600
60	Porphyrio_melanotus_0	1	0	0	100	-6	7	-600
61	Porphyrio_alleni_0	1	0	0	100	-6	7	-600
62	Lewinia_pectoralis_0	1	0	0	100	-6	7	-600
63	Porphyrio_poliocephalus_0	1	0	0	100	-6	7	-600
64	Porphyrio_melanopterus_0	1	0	0	100	-6	7	-600
65	Porphyrio_indicus_0	1	0	0	100	-6	7	-600
66	Porphyrio_porphyrio_0	1	0	0	100	-6	7	-600
67	Porphyrio_ellioti_0	1	0	0	100	-6	7	-600
68	Porphyrio_pulverulentus_0	1	0	0	100	-6	7	-600
69	Porphyrio_kukwiedei_0	0	0	1	0	-6	7	-600
70	Porphyrio_mantelli_0	0	0	1	0	-6	7	-600
71	Porphyrio_hochstetteri_0	1	0	0	100	-6	7	-600
72	Habroptila_wallacii_0	1	0	0	100	-6	7	-600
73	Gymnocrex_rosenbergii_0	1	0	0	100	-6	7	-600
74	Gymnocrex_plumbeiventris_0	1	0	0	100	-6	7	-600
75	Aramides_calopterus_0	1	0	0	100	-6	7	-600
76	Aramides_mangle_0	1	0	0	100	-6	7	-600
77	Aramides_wolfi_0	1	0	0	100	-6	7	-600
78	Aramides_albiventris_0	1	0	0	100	-6	7	-600
79	Aramides_mexicana_0	1	0	0	100	-6	7	-600
80	Aramides_plumbeicollis_0	1	0	0	100	-6	7	-600
81	Aramides_ypecaha_0	1	0	0	100	-6	7	-600
82	Aramides_castaneiceps_0	1	0	0	100	-6	7	-600
83	Cyanolimnas_cerverai_0	1	0	0	100	-6	7	-600
84	Rallus_madagascariensis_0	1	0	0	100	-6	7	-600
85	Tricholimnas_sylvestris_0	1	0	0	100	-6	7	-600
86	Gallirallus_lafresnayanus_0	1	0	0	100	-6	7	-600
87	Nesoclopeus_poecilopterus_0	1	0	0	100	-6	7	-600
88	Gallirallus_immaculatus_0	1	0	0	100	-6	7	-600
89	Aramidopsis_plateni_0	1	0	0	100	-6	7	-600
90	Rallus_aquaticus_0	1	0	0	100	-6	7	-600
91	Rallus_indicus_0	1	0	0	100	-6	7	-600
92	Rallus_caerulescens_0	1	0	0	100	-6	7	-600
93	Rallus_semiplumbeus_0	1	0	0	100	-6	7	-600
94	Rallus_antarcticus_0	1	0	0	100	-6	7	-600
95	Rallus_elegans_0	1	0	0	100	-6	7	-600
96	Rallus_wetmorei_0	1	0	0	100	-6	7	-600
97	Gallirallus_dieffenbachii_0	1	0	0	100	-6	7	-600
98	Gallirallus_rovianae_0	0	0	1	0	-6	7	-600
99	Gallirallus_wakensis_0	1	0	0	100	-6	7	-600
100	Lewinia_muelleri_0	1	0	0	100	-6	7	-600
101	Lewinia_mirificus_0	1	0	0	100	-6	7	-600
102	Gallirallus_australis_0	1	0	0	100	-6	7	-600
103	Gallirallus_modestus_0	1	0	0	100	-6	7	-600
104	Gallirallus_karamu_0	0	0	1	0	-6	7	-600
105	Gallirallus_insignis_0	1	0	0	100	-6	7	-600
106	Gallirallus_okinawae_0	1	0	0	100	-6	7	-600
107	Aphanapteryx_bonasia_0	0	0	1	0	-6	7	-600
108	Rallina_canningi_0	1	0	0	100	-6	7	-600
109	Coturnicops_exquisitus_0	1	0	0	100	-6	7	-600
110	Coturnicops_notatus_0	1	0	0	100	-6	7	-600
111	Atlantisia_elpenor_0	0	0	1	0	-6	7	-600
112	Laterallus_fasciatus_0	1	0	0	100	-6	7	-600
113	Laterallus_ruber_0	1	0	0	100	-6	7	-600
114	Laterallus_levraudi_0	1	0	0	100	-6	7	-600
115	Laterallus_xenopterus_0	1	0	0	100	-6	7	-600
116	Laterallus_spilonotus_0	1	0	0	100	-6	7	-600
117	Porzana_spiloptera_0	1	0	0	100	-6	7	-600
118	Porzana_flaviventer_0	1	0	0	100	-6	7	-600
119	Porzana_carolina_0	1	0	0	100	-6	7	-600
120	Porzana_albicollis_0	1	0	0	100	-6	7	-600
121	Porzana_pusilla_0	1	0	0	100	-6	7	-600
122	Porzana_fluminea_0	1	0	0	100	-6	7	-600
123	Porzana_paykullii_0	1	0	0	100	-6	7	-600
124	Amaurornis_bicolor_0	1	0	0	100	-6	7	-600
125	Amaurornis_olivieri_0	1	0	0	100	-6	7	-600
126	Porzana_flavirostra_0	1	0	0	100	-6	7	-600
127	Porzana_monasa_0	1	0	0	100	-6	7	-600
128	Porzana_atra_0	1	0	0	100	-6	7	-600
129	Porzana_tabuensis_0	1	0	0	100	-6	7	-600
130	Porzana_palmeri_0	1	0	0	100	-6	7	-600
131	Porzana_sandwichensis_0	1	0	0	100	-6	7	-600
132	Neocrex_colombianus_0	1	0	0	100	-6	7	-600
133	Amaurornis_olivaceus_0	1	0	0	100	-6	7	-600
134	Amaurornis_akool_0	1	0	0	100	-6	7	-600
135	Amaurornis_isabellinus_0	1	0	0	100	-6	7	-600
136	Porphyriops_melanops_0	1	0	0	100	-6	7	-600
137	Gallinula_galeata_0	1	0	0	100	-6	7	-600
