OTU	numchars	nAmbig	nQ	PctData	numchars_woInvar	nQ_woInvar	PctData_woInvar
1	Aramides_axillaris_0	151	0	60	71.56	-422	633	-200
2	Amaurornis_flavirostris_0	211	0	0	100	-422	633	-200
3	Amaurornis_phoenicurus_0	211	0	0	100	-422	633	-200
4	Aramides_cajanea_0	207	0	4	98.1	-422	633	-200
5	Crex_crex_0	211	0	0	100	-422	633	-200
6	Eulabeornis_castaneoventris_0	200	0	11	94.79	-422	633	-200
7	Dryolimnas_cuvieri_0	211	0	0	100	-422	633	-200
8	Fulica_americana_0	211	0	0	100	-422	633	-200
9	Fulica_atra_0	211	0	0	100	-422	633	-200
10	Fulica_ardesiaca_0	211	0	0	100	-422	633	-200
11	Fulica_leucoptera_0	203	0	8	96.21	-422	633	-200
12	Fulica_rufifrons_0	211	0	0	100	-422	633	-200
13	Fulica_armillata_0	211	0	0	100	-422	633	-200
14	Gallinula_angulata_0	206	0	5	97.63	-422	633	-200
15	Gallinula_chloropus_0	211	0	0	100	-422	633	-200
16	Gallicrex_cinerea_0	211	0	0	100	-422	633	-200
17	Gallinula_tenebrosa_0	211	0	0	100	-422	633	-200
18	Gallinula_mortierii_0	210	0	1	99.53	-422	633	-200
19	Gallinula_ventralis_0	211	0	0	100	-422	633	-200
20	Laterallus_exilis_0	197	0	14	93.36	-422	633	-200
21	Laterallus_melanophaius_0	202	0	9	95.73	-422	633	-200
22	Laterallus_viridis_0	210	0	1	99.53	-422	633	-200
23	Neocrex_erythrops_0	204	0	7	96.68	-422	633	-200
24	Nesoclopeus_woodfordi_0	154	0	57	72.99	-422	633	-200
25	Pardirallus_nigricans_0	206	0	5	97.63	-422	633	-200
26	Pardirallus_sanguinolentus_0	211	0	0	100	-422	633	-200
27	Pardirallus_maculatus_0	203	0	8	96.21	-422	633	-200
28	Porzana_porzana_0	211	0	0	100	-422	633	-200
29	Rallus_limicola_0	211	0	0	100	-422	633	-200
30	Rallus_longirostris_0	206	0	5	97.63	-422	633	-200
31	Rallina_fasciata_0	211	0	0	100	-422	633	-200
32	Rallina_tricolor_0	211	0	0	100	-422	633	-200
33	Porphyrio_martinica_0	211	0	0	100	-422	633	-200
34	Gallirallus_philippensis_0	203	0	8	96.21	-422	633	-200
35	Aenigmatolimnas_marginalis_0	211	0	0	100	-422	633	-200
36	Amaurolimnas_concolor_0	200	0	11	94.79	-422	633	-200
37	Amaurornis_moluccana_0	206	0	5	97.63	-422	633	-200
38	Aramides_saracura_0	202	0	9	95.73	-422	633	-200
39	Coturnicops_noveboracensis_0	211	0	0	100	-422	633	-200
40	Crex_egregia_0	211	0	0	100	-422	633	-200
41	Fulica_gigantea_0	211	0	0	100	-422	633	-200
42	Fulica_cristata_0	211	0	0	100	-422	633	-200
43	Gallirallus_calayanensis_0	0	0	211	0	-422	633	-200
44	Gallirallus_torquatus_0	203	0	8	96.21	-422	633	-200
45	Gallirallus_striatus_0	211	0	0	100	-422	633	-200
46	Laterallus_albigularis_0	202	0	9	95.73	-422	633	-200
47	Laterallus_leucopyrrhus_0	210	0	1	99.53	-422	633	-200
48	Laterallus_jamaicaensis_0	210	0	1	99.53	-422	633	-200
49	Megacrex_inepta_0	179	0	32	84.83	-422	633	-200
50	Micropygia_schomburgkii_0	185	0	26	87.68	-422	633	-200
51	Porzana_cinerea_0	211	0	0	100	-422	633	-200
52	Porzana_fusca_0	206	0	5	97.63	-422	633	-200
53	Porphyrio_madagascariensis_0	202	0	9	95.73	-422	633	-200
54	Porzana_parva_0	206	0	5	97.63	-422	633	-200
