OTU	numchars	nAmbig	nQ	PctData	numchars_woInvar	nQ_woInvar	PctData_woInvar
1	Aramides_axillaris_0	19400	23	1405	93.14	5815	14990	27.92
2	Amaurornis_flavirostris_0	19917	64	847	95.63	5924	14840	28.44
3	Amaurornis_phoenicurus_0	19965	32	831	95.86	6009	14787	28.85
4	Aramides_cajanea_0	18974	75	1779	91.1	5658	15095	27.17
5	Crex_crex_0	18247	105	2476	87.61	5588	15135	26.83
6	Eulabeornis_castaneoventris_0	20494	19	315	98.4	6230	14579	29.91
7	Dryolimnas_cuvieri_0	20361	9	458	97.76	6211	14608	29.82
8	Fulica_americana_0	18495	25	2308	88.8	5699	15104	27.36
9	Fulica_atra_0	18328	43	2457	88	5663	15122	27.19
10	Fulica_ardesiaca_0	18725	30	2073	89.9	5754	15044	27.63
11	Fulica_leucoptera_0	18309	42	2477	87.91	5654	15132	27.15
12	Fulica_rufifrons_0	20328	31	469	97.6	6160	14637	29.58
13	Fulica_armillata_0	20336	47	445	97.64	6170	14611	29.62
14	Gallinula_angulata_0	19855	139	834	95.33	5942	14747	28.53
15	Gallinula_chloropus_0	20181	82	565	96.89	6068	14678	29.13
16	Gallicrex_cinerea_0	18076	41	2711	86.79	5489	15298	26.35
17	Gallinula_tenebrosa_0	19419	45	1364	93.24	5900	14883	28.33
18	Gallinula_mortierii_0	18614	22	2192	89.37	5497	15309	26.39
19	Gallinula_ventralis_0	19415	116	1297	93.22	5786	14926	27.78
20	Laterallus_exilis_0	20241	53	534	97.18	6140	14635	29.48
21	Laterallus_melanophaius_0	18956	68	1804	91.01	5752	15008	27.62
22	Laterallus_viridis_0	19595	70	1163	94.08	5924	14834	28.44
23	Neocrex_erythrops_0	19648	68	1112	94.33	5853	14907	28.1
24	Nesoclopeus_woodfordi_0	19506	16	1306	93.65	5850	14962	28.09
25	Pardirallus_nigricans_0	20115	24	689	96.58	6078	14726	29.18
26	Pardirallus_sanguinolentus_0	19872	26	930	95.41	5995	14807	28.78
27	Pardirallus_maculatus_0	18600	40	2188	89.3	5540	15248	26.6
28	Porzana_porzana_0	17649	93	3086	84.74	5132	15603	24.64
29	Rallus_limicola_0	20510	73	245	98.47	6201	14554	29.77
30	Rallus_longirostris_0	20156	44	628	96.77	6080	14704	29.19
31	Rallina_fasciata_0	19895	28	905	95.52	5985	14815	28.74
32	Rallina_tricolor_0	18675	24	2129	89.66	5633	15171	27.05
33	Porphyrio_martinica_0	19464	77	1287	93.45	5933	14818	28.49
34	Gallirallus_philippensis_0	20002	87	739	96.03	6005	14736	28.83
35	Aenigmatolimnas_marginalis_0	15471	99	5258	74.28	4165	16564	20
36	Amaurolimnas_concolor_0	14222	81	6525	68.28	3984	16763	19.13
37	Amaurornis_moluccana_0	19507	39	1282	93.66	5920	14869	28.42
38	Aramides_saracura_0	17665	66	3097	84.81	5054	15708	24.27
39	Coturnicops_noveboracensis_0	20093	47	688	96.47	6067	14714	29.13
40	Crex_egregia_0	17430	81	3317	83.69	4980	15767	23.91
41	Fulica_gigantea_0	15898	13	4917	76.33	4417	16398	21.21
42	Fulica_cristata_0	20183	25	620	96.9	6131	14672	29.44
43	Gallirallus_calayanensis_0	17812	9	3007	85.52	5278	15541	25.34
44	Gallirallus_torquatus_0	13082	32	7714	62.81	3230	17566	15.51
45	Gallirallus_striatus_0	19472	93	1263	93.49	5906	14829	28.36
46	Laterallus_albigularis_0	16678	26	4124	80.07	4610	16192	22.13
47	Laterallus_leucopyrrhus_0	18037	62	2729	86.6	5250	15516	25.21
48	Laterallus_jamaicaensis_0	20105	54	669	96.53	6072	14702	29.15
49	Megacrex_inepta_0	18382	5	2441	88.26	5420	15403	26.02
50	Micropygia_schomburgkii_0	16838	38	3952	80.84	4997	15793	23.99
51	Porzana_cinerea_0	17163	89	3576	82.4	4888	15851	23.47
52	Porzana_fusca_0	18799	40	1989	90.26	5647	15141	27.11
53	Porphyrio_madagascariensis_0	17109	14	3705	82.14	4958	15856	23.8
54	Porzana_parva_0	18329	31	2468	88	5477	15320	26.3
55	Rallina_eurizonoides_0	19477	41	1310	93.51	5900	14887	28.33
56	Atlantisia_rogersi_0	7234	32	13562	34.73	1803	18993	8.66
57	Himantornis_haematopus_0	15563	63	5202	74.72	4273	16492	20.52
58	Gallirallus_owstoni_0	19073	11	1744	91.57	5630	15187	27.03
59	Rougetius_rougetii_0	17918	24	2886	86.03	5218	15586	25.05
60	Porphyrio_melanotus_0	20319	71	438	97.56	6217	14540	29.85
61	Porphyrio_alleni_0	20273	32	523	97.34	6177	14619	29.66
62	Lewinia_pectoralis_0	16406	62	4360	78.77	4963	15803	23.83
63	Porphyriops_melanops_0	1913	2	18913	9.18	757	20069	3.63
64	Laterallus_fasciatus_0	1983	0	18845	9.52	791	20037	3.8
65	Lewinia_muelleri_0	2124	0	18704	10.2	868	19960	4.17
66	Porzana_paykullii_0	2385	0	18443	11.45	957	19871	4.59
67	Porzana_tabuensis_0	724	1	20103	3.48	229	20598	1.1
68	Porzana_albicollis_0	2325	0	18503	11.16	935	19893	4.49
69	Coturnicops_exquisitus_0	2587	0	18241	12.42	1038	19790	4.98
70	Gallinula_galeata_0	694	0	20134	3.33	274	20554	1.32
71	Porzana_pusilla_0	2125	2	18701	10.2	881	19945	4.23
72	Porzana_fluminea_0	1867	0	18961	8.96	756	20072	3.63
73	Rallus_aquaticus_0	890	0	19938	4.27	340	20488	1.63
74	Rallus_caerulescens_0	1794	3	19031	8.61	698	20127	3.35
75	Rallus_elegans_0	2362	0	18466	11.34	951	19877	4.57
76	Gallirallus_okinawae_0	2588	0	18240	12.43	1039	19789	4.99
77	Porphyrio_hochstetteri_0	2588	0	18240	12.43	1039	19789	4.99
78	Porzana_carolina_0	2575	0	18253	12.36	1034	19794	4.96
79	Amaurornis_akool_0	1615	0	19213	7.75	694	20134	3.33
80	Gallirallus_rovianae_0	307	0	20521	1.47	131	20697	0.63
81	Gallirallus_insignis_0	307	0	20521	1.47	131	20697	0.63
82	Gallirallus_wakensis_0	307	0	20521	1.47	131	20697	0.63
83	Aramidopsis_plateni_0	307	0	20521	1.47	131	20697	0.63
84	Habroptila_wallacii_0	307	0	20521	1.47	131	20697	0.63
85	Aramides_mangle_0	1916	1	18911	9.2	772	20055	3.71
86	Aramides_ypecaha_0	2320	0	18508	11.14	934	19894	4.48
87	Lewinia_mirificus_0	2359	0	18469	11.33	960	19868	4.61
88	Tricholimnas_sylvestris_0	1846	0	18982	8.86	748	20080	3.59
89	Gallirallus_australis_0	2402	0	18426	11.53	970	19858	4.66
90	Diaphorapteryx_hawkinsi_0	905	0	19923	4.35	416	20412	2
91	Gallirallus_modestus_0	1020	1	19807	4.9	472	20355	2.27
92	Gallirallus_dieffenbachii_0	505	0	20323	2.42	219	20609	1.05
93	Gallirallus_lafresnayanus_0	664	0	20164	3.19	302	20526	1.45
