OTU	numchars	nAmbig	nQ	PctData	numchars_woInvar	nQ_woInvar	PctData_woInvar
1	Aramides_axillaris_0	9	0	1	90	-40	50	-400
2	Amaurornis_flavirostris_0	10	0	0	100	-40	50	-400
3	Amaurornis_phoenicurus_0	10	0	0	100	-40	50	-400
4	Aramides_cajanea_0	10	0	0	100	-40	50	-400
5	Crex_crex_0	10	0	0	100	-40	50	-400
6	Eulabeornis_castaneoventris_0	10	0	0	100	-40	50	-400
7	Dryolimnas_cuvieri_0	10	0	0	100	-40	50	-400
8	Fulica_americana_0	10	0	0	100	-40	50	-400
9	Fulica_atra_0	10	0	0	100	-40	50	-400
10	Fulica_ardesiaca_0	10	0	0	100	-40	50	-400
11	Fulica_leucoptera_0	9	0	1	90	-40	50	-400
12	Fulica_rufifrons_0	10	0	0	100	-40	50	-400
13	Fulica_armillata_0	10	0	0	100	-40	50	-400
14	Gallinula_angulata_0	10	0	0	100	-40	50	-400
15	Gallinula_chloropus_0	10	0	0	100	-40	50	-400
16	Gallicrex_cinerea_0	10	0	0	100	-40	50	-400
17	Gallinula_tenebrosa_0	10	0	0	100	-40	50	-400
18	Gallinula_mortierii_0	10	0	0	100	-40	50	-400
19	Gallinula_ventralis_0	10	0	0	100	-40	50	-400
20	Laterallus_exilis_0	9	0	1	90	-40	50	-400
21	Laterallus_melanophaius_0	9	0	1	90	-40	50	-400
22	Laterallus_viridis_0	10	0	0	100	-40	50	-400
23	Neocrex_erythrops_0	10	0	0	100	-40	50	-400
24	Nesoclopeus_woodfordi_0	9	0	1	90	-40	50	-400
25	Pardirallus_nigricans_0	10	0	0	100	-40	50	-400
26	Pardirallus_sanguinolentus_0	10	0	0	100	-40	50	-400
27	Pardirallus_maculatus_0	9	0	1	90	-40	50	-400
28	Porzana_porzana_0	10	0	0	100	-40	50	-400
29	Rallus_limicola_0	10	0	0	100	-40	50	-400
30	Rallus_longirostris_0	10	0	0	100	-40	50	-400
31	Rallina_fasciata_0	10	0	0	100	-40	50	-400
32	Rallina_tricolor_0	10	0	0	100	-40	50	-400
33	Porphyrio_martinica_0	10	0	0	100	-40	50	-400
34	Gallirallus_philippensis_0	9	0	1	90	-40	50	-400
35	Aenigmatolimnas_marginalis_0	10	0	0	100	-40	50	-400
36	Amaurolimnas_concolor_0	9	0	1	90	-40	50	-400
37	Amaurornis_moluccana_0	10	0	0	100	-40	50	-400
38	Aramides_saracura_0	10	0	0	100	-40	50	-400
39	Coturnicops_noveboracensis_0	10	0	0	100	-40	50	-400
40	Crex_egregia_0	10	0	0	100	-40	50	-400
41	Fulica_gigantea_0	10	0	0	100	-40	50	-400
42	Fulica_cristata_0	10	0	0	100	-40	50	-400
43	Gallirallus_calayanensis_0	0	0	10	0	-40	50	-400
