char_is_autapomorphic	nstates_per_char	state0	state1	state2
1	0	3	101	8	5
2	0	3	99	14	2
3	0	3	90	29	2
4	0	3	1	91	8
5	0	3	1	101	18
6	0	3	2	13	106
7	0	3	113	11	1
8	0	3	13	2	110
9	0	3	133	1	2
10	0	3	101	3	33
11	0	3	120	11	5
12	0	3	133	1	2
13	1	3	134	1	1
14	0	3	83	11	41
15	0	3	123	4	9
16	0	3	103	14	19
17	0	3	130	5	1
18	0	3	67	59	10
19	0	3	111	20	5
20	0	3	113	22	1
21	0	3	127	8	1
22	0	3	82	50	4
23	0	3	118	13	5
24	0	3	59	66	11
