species	locus	numQs
70	Porphyrio_mantelli_0	seqs_DNA_seqfrom_Porphyrio_mantelli_0	20828
71	Porphyrio_hochstetteri_0	seqs_DNA_seqfrom_Porphyrio_hochstetteri_0	18913
72	Habroptila_wallacii_0	seqs_DNA_seqfrom_Habroptila_wallacii_0	18845
73	Gymnocrex_rosenbergii_0	seqs_DNA_seqfrom_Gymnocrex_rosenbergii_0	20828
74	Gymnocrex_plumbeiventris_0	seqs_DNA_seqfrom_Gymnocrex_plumbeiventris_0	20828
75	Aramides_calopterus_0	seqs_DNA_seqfrom_Aramides_calopterus_0	20828
76	Aramides_mangle_0	seqs_DNA_seqfrom_Aramides_mangle_0	18704
77	Aramides_wolfi_0	seqs_DNA_seqfrom_Aramides_wolfi_0	20828
78	Aramides_albiventris_0	seqs_DNA_seqfrom_Aramides_albiventris_0	20828
79	Aramides_mexicana_0	seqs_DNA_seqfrom_Aramides_mexicana_0	20828
80	Aramides_plumbeicollis_0	seqs_DNA_seqfrom_Aramides_plumbeicollis_0	20828
81	Aramides_ypecaha_0	seqs_DNA_seqfrom_Aramides_ypecaha_0	18443
82	Aramides_castaneiceps_0	seqs_DNA_seqfrom_Aramides_castaneiceps_0	20828
83	Cyanolimnas_cerverai_0	seqs_DNA_seqfrom_Cyanolimnas_cerverai_0	20828
84	Rallus_madagascariensis_0	seqs_DNA_seqfrom_Rallus_madagascariensis_0	20828
85	Tricholimnas_sylvestris_0	seqs_DNA_seqfrom_Tricholimnas_sylvestris_0	20103
86	Gallirallus_lafresnayanus_0	seqs_DNA_seqfrom_Gallirallus_lafresnayanus_0	18503
87	Nesoclopeus_poecilopterus_0	seqs_DNA_seqfrom_Nesoclopeus_poecilopterus_0	20828
88	Gallirallus_immaculatus_0	seqs_DNA_seqfrom_Gallirallus_immaculatus_0	20828
89	Aramidopsis_plateni_0	seqs_DNA_seqfrom_Aramidopsis_plateni_0	18241
90	Rallus_aquaticus_0	seqs_DNA_seqfrom_Rallus_aquaticus_0	20134
91	Rallus_indicus_0	seqs_DNA_seqfrom_Rallus_indicus_0	20828
92	Rallus_caerulescens_0	seqs_DNA_seqfrom_Rallus_caerulescens_0	18701
93	Rallus_semiplumbeus_0	seqs_DNA_seqfrom_Rallus_semiplumbeus_0	20828
94	Rallus_antarcticus_0	seqs_DNA_seqfrom_Rallus_antarcticus_0	20828
95	Rallus_elegans_0	seqs_DNA_seqfrom_Rallus_elegans_0	18961
96	Rallus_wetmorei_0	seqs_DNA_seqfrom_Rallus_wetmorei_0	20828
97	Gallirallus_dieffenbachii_0	seqs_DNA_seqfrom_Gallirallus_dieffenbachii_0	19938
98	Gallirallus_rovianae_0	seqs_DNA_seqfrom_Gallirallus_rovianae_0	19031
99	Gallirallus_wakensis_0	seqs_DNA_seqfrom_Gallirallus_wakensis_0	18466
100	Lewinia_muelleri_0	seqs_DNA_seqfrom_Lewinia_muelleri_0	18240
101	Lewinia_mirificus_0	seqs_DNA_seqfrom_Lewinia_mirificus_0	18240
102	Gallirallus_australis_0	seqs_DNA_seqfrom_Gallirallus_australis_0	18253
103	Gallirallus_modestus_0	seqs_DNA_seqfrom_Gallirallus_modestus_0	19213
104	Gallirallus_karamu_0	seqs_DNA_seqfrom_Gallirallus_karamu_0	20828
105	Gallirallus_insignis_0	seqs_DNA_seqfrom_Gallirallus_insignis_0	20521
106	Gallirallus_okinawae_0	seqs_DNA_seqfrom_Gallirallus_okinawae_0	20521
